0.0	1110.5519975999102	-3119.316157858344	-2008.7641602584338	0.0	0.0	20029.650749151057	20029.650749151057
0.1	1110.551997557928	-3119.316157749015	-2008.764160191087	0.0	-0.0	20029.650749151046	20029.650749151046
0.2	1110.5519974319939	-3119.316157421047	-2008.7641599890533	0.0	-0.0	20029.650749151046	20029.650749151046
0.3	1110.5519972221346	-3119.3161568745168	-2008.7641596523822	0.0	-0.0	20029.650749151042	20029.650749151042
0.4	1110.5519969283962	-3119.3161561095408	-2008.7641591811446	0.0	-0.0	20029.650749151046	20029.650749151046
0.5	1110.551996550842	-3119.316155126288	-2008.764158575446	0.0	-0.0	20029.650749151042	20029.650749151042
0.6	1110.5519960895558	-3119.3161539249704	-2008.7641578354146	0.0	-0.0	20029.65074915105	20029.65074915105
0.7	1110.551995544638	-3119.316152505854	-2008.764156961216	0.0	-0.0	20029.650749151053	20029.650749151053
0.8	1110.551994916207	-3119.316150869249	-2008.7641559530423	0.0	-0.0	20029.65074915105	20029.65074915105
0.9	1110.5519942044011	-3119.3161490155094	-2008.7641548111083	0.0	-0.0	20029.650749151053	20029.650749151053
1.0	1110.5519934093745	-3119.316146945046	-2008.7641535356715	0.0	-0.0	20029.650749151046	20029.650749151046
1.1	1110.551992531303	-3119.3161446583044	-2008.7641521270014	0.0	-0.0	20029.650749151053	20029.650749151053
1.2	1110.5519915703774	-3119.31614215579	-2008.7641505854128	0.0	-0.0	20029.650749151057	20029.650749151057
1.3	1110.5519905268075	-3119.3161394380495	-2008.764148911242	0.0	-0.0	20029.650749151053	20029.650749151053
1.4	1110.551989400823	-3119.3161365056762	-2008.7641471048532	0.0	-0.0	20029.65074915106	20029.65074915106
1.5	1110.5519881926693	-3119.316133359313	-2008.7641451666436	0.0	-0.0	20029.650749151067	20029.650749151067
1.6	1110.5519869026093	-3119.316129999646	-2008.7641430970366	0.0	-0.0	20029.650749151057	20029.650749151057
1.7	1110.5519855309262	-3119.3161264274104	-2008.7641408964842	0.0	-0.0	20029.650749151053	20029.650749151053
1.8	1110.55198407792	-3119.3161226433845	-2008.7641385654645	0.0	-0.0	20029.650749151046	20029.650749151046
1.9	1110.5519825439083	-3119.316118648401	-2008.7641361044925	0.0	-0.0	20029.65074915104	20029.65074915104
2.0	1110.5519809292268	-3119.3161144433307	-2008.7641335141038	0.0	-0.0	20029.650749151035	20029.650749151035
2.1	1110.551979234228	-3119.3161100290918	-2008.7641307948638	0.0	-0.0	20029.65074915103	20029.65074915103
